step,val_acc,val_loss,epoch,train_loss,train_epoch_time
27,0.3266666531562805,1.726588249206543,0,,
27,,,0,1.7620846033096313,2.8054440021514893
55,0.3400000035762787,1.6521774530410767,1,,
55,,,1,1.6841295957565308,5.959564208984375
83,0.4355555474758148,1.6399527788162231,2,,
83,,,2,1.6446031332015991,6.114090919494629
111,0.3444444537162781,1.6342095136642456,3,,
111,,,3,1.6370118856430054,6.377469539642334
139,0.3911111056804657,1.6162925958633423,4,,
139,,,4,1.6271541118621826,6.372747421264648
167,0.40888887643814087,1.5949786901474,5,,
167,,,5,1.6109696626663208,6.833086013793945
195,0.42444443702697754,1.58163583278656,6,,
195,,,6,1.5937649011611938,6.351485729217529
223,0.4377777874469757,1.5672951936721802,7,,
223,,,7,1.5797897577285767,6.5037431716918945
251,0.4422222077846527,1.5648359060287476,8,,
251,,,8,1.5688506364822388,6.862489700317383
279,0.47111111879348755,1.5458875894546509,9,,
279,,,9,1.560949683189392,6.050380229949951
307,0.47333332896232605,1.5461559295654297,10,,
307,,,10,1.5542898178100586,6.790205955505371
335,0.47777777910232544,1.5390979051589966,11,,
335,,,11,1.547979712486267,6.551530361175537
363,0.46222221851348877,1.5474859476089478,12,,
363,,,12,1.5438294410705566,6.867764472961426
391,0.47777777910232544,1.5312434434890747,13,,
391,,,13,1.5418760776519775,6.48635196685791
419,0.4866666793823242,1.5245450735092163,14,,
419,,,14,1.536376714706421,6.584615707397461
447,0.5266666412353516,1.5272730588912964,15,,
447,,,15,1.5351697206497192,6.530473709106445
475,0.5222222208976746,1.5183197259902954,16,,
475,,,16,1.5338375568389893,6.781283378601074
503,0.5488888621330261,1.5159515142440796,17,,
503,,,17,1.5302379131317139,6.912446022033691
531,0.5444444417953491,1.5117322206497192,18,,
531,,,18,1.5279033184051514,6.957716941833496
559,0.5266666412353516,1.513366937637329,19,,
559,,,19,1.528936743736267,6.878207206726074
587,0.5911111235618591,1.5088000297546387,20,,
587,,,20,1.522777795791626,6.732039451599121
615,0.5244444608688354,1.5079289674758911,21,,
615,,,21,1.5228252410888672,6.778786659240723
643,0.5355555415153503,1.5074381828308105,22,,
643,,,22,1.5201683044433594,6.874117851257324
671,0.5422222018241882,1.505405306816101,23,,
671,,,23,1.5170003175735474,6.8453264236450195
699,0.5444444417953491,1.5052623748779297,24,,
699,,,24,1.5183699131011963,6.700385093688965
727,0.5799999833106995,1.5078625679016113,25,,
727,,,25,1.5155562162399292,6.740890026092529
755,0.5422222018241882,1.5007658004760742,26,,
755,,,26,1.5169286727905273,7.35665225982666
783,0.5355555415153503,1.4986099004745483,27,,
783,,,27,1.5144715309143066,6.548831939697266
811,0.5355555415153503,1.5021941661834717,28,,
811,,,28,1.510215163230896,6.659413814544678
839,0.5222222208976746,1.5007054805755615,29,,
839,,,29,1.5107219219207764,6.446475982666016
867,0.5422222018241882,1.4984372854232788,30,,
867,,,30,1.5082247257232666,6.513327598571777
895,0.5644444227218628,1.4980206489562988,31,,
895,,,31,1.5139695405960083,6.837013244628906
923,0.5533333420753479,1.4946380853652954,32,,
923,,,32,1.507216215133667,6.525035858154297
951,0.5444444417953491,1.4919594526290894,33,,
951,,,33,1.503129243850708,6.582123756408691
979,0.5400000214576721,1.4966611862182617,34,,
979,,,34,1.507333755493164,6.806096076965332
1007,0.5444444417953491,1.4925177097320557,35,,
1007,,,35,1.5029414892196655,6.836881160736084
1035,0.5666666626930237,1.4973167181015015,36,,
1035,,,36,1.4992988109588623,7.152112007141113
